0,0.95393725125,0.00794986491133284,8,0,0,8,0.04606274875,0.00794986491133284,8
1.8,0.92326848,0.00611950007428705,2,0,0,2,0.07673152,0.00611950007428711,2
2,0.922940315,0.0317450993219623,2,0,0,2,0.077059685,0.0317450993219623,2
6.1,0.8115140425,0.0170293773930648,4,0,0,4,0.1884859575,0.0170293773930647,4
10.8,0.7075508,0.0010412288774328,2,0,0,2,0.2924492,0.00104122887743284,2
11,0.72477687,0.0330832776921544,2,0,0,2,0.27522313,0.0330832776921544,2
15.9,0.641999175,0.0538236600363748,2,0.00314953,0.00445410804110093,2,0.35485129,0.049369544924206,2
18.5,0.61311562,0.0296177332154235,2,0.007964335,0.00465496172229697,2,0.378920045,0.0342726949377205,2
21,0.54193847,0.0522266664421328,2,0.002322525,0.00328454635395057,2,0.455739005,0.0489421200881822,2
22,0.563531195,0.0278596182700203,2,0.0063883,0.00157363785725941,2,0.430080505,0.0294332561272797,2
24,0.565299005,0.0502701939024712,2,0,0,2,0.434700995,0.0502701939024711,2
28,0.48084506,0.0199302288918116,2,0.009093345,0.00706871314628412,2,0.51006159,0.0269989349670279,2
31.2,0.503190965,0.042426626074295,2,0.006070515,0.000954162819465315,2,0.49073852,0.0414724632548297,2
42.8,0.467628955,0.0373522015383304,2,0.00866667,2.80820387080426e-004,2,0.523704375,0.0376330219254108,2
53,0.38646307,0.00366043724776154,2,0.01530916,0.00113586804902682,2,0.59822777,0.00479630529678842,2
