0,0.744984,0.0146055007054583,8,0,0,8,0.255016,0.0146055007054583,8
2,0.4413605,0.00679600327398389,2,0.003134,1.13137084989847e-005,2,0.5555055,0.00678468956548494,2
6,0.2640525,0.0085694270811998,2,0.007231,2.3758787847868e-004,2,0.7287165,0.00880701495967844,2
10,0.118956,0.00941300547115532,2,0.0093655,0.00192969440585809,2,0.871679,0.0113419927702323,2
15,0.048728,0.00313672568134352,2,0.0188635,0.00228749043713848,2,0.932409,0.0054249232252632,2
20,0.0227875,0.00501550839895618,2,0.0270855,0.00118016121780035,2,0.950127,0.00619566961675656,2
25,0.011694,0.00122188051789035,2,0.0307055,0.00392232131524178,2,0.9576005,0.00514420183313216,2
30,0.0049455,0.000921360135886072,2,0.042752,0.00867902863228368,2,0.9523025,0.00775766849639758,2
40,0,0,2,0.06693,0.0183366930497295,2,0.93307,0.0183366930497295,2
50,0,0,2,0.1442385,0.0301460834023261,2,0.8557615,0.0301460834023261,2
