0,0.744984,0.0146055007054583,8,0,0,8,0.255016,0.0146055007054583,8
2,0.503325,4.99217387517691e-004,2,0.0030805,0.00105005357006202,2,0.4935945,0.00154927095757972,2
6,0.307294,0.0101045559031558,2,0.0054175,0.00084782103064267,2,0.6872885,0.00925673487251307,2
10,0.161192,0.0154432121011142,2,0.0095205,0.00270326922447617,2,0.8292875,0.0127399428766381,2
15,0.094839,4.5820519420888e-004,2,0.0148355,0.00319117290349489,2,0.890326,0.0027322606025048,2
20,0.0686665,0.00509046171776195,2,0.0164095,0.00296348451995282,2,0.9149235,0.00805323913093365,2
25,0.0325615,0.00209657160621811,2,0.021896,0.00469094638639156,2,0.945543,0.00259366767339226,2
30,0.017682,0.00113419927702322,2,0.031318,0.00880913628002201,2,0.9509995,0.00767564410978001,2
40,0.0051785,0.000668215908221287,2,0.0597185,0.00837709403671703,2,0.935103,0.00770887812849572,2
50,0.0019785,0.00279802153315517,2,0.053792,0.011428259797537,2,0.9442295,0.0142262813306922,2
