0,0.8553004875,0.0211417923876704,4,0.0083759025,0.00109326349456951,4,0.136323615,0.0201815274988102,4
2,0.687119135,0.00412528217464571,2,0.02729203,0.0010263796350279,2,0.28558884,0.00309889546855005,2
4,0.375182245,0.0130546124653338,2,0.03225501,5.81666038204059e-005,2,0.592562745,0.0131127790691542,2
6,0.25975313,0.0126858350657417,2,0.050863625,0.00161023063318582,2,0.689383245,0.0142960656989275,2
8,0.204198315,0.00157647335545196,2,0.07916827,0.0115030575528509,2,0.716633415,0.0130795309083029,2
10,0.157389165,0.0103200042683155,2,0.09464136,0.0228130183858954,2,0.74796947,0.033133015583143,2
15,0.075832545,0.00569374401026688,2,0.176003745,0.023842601214642,2,0.74816371,0.0295363452249089,2
20,0.046261225,0.00340797891367449,2,0.254298205,0.028912203282359,2,0.69944057,0.0323201821960334,2
30,0.00222514,0.00314682316617887,2,0.36013273,0.047220053446484,2,0.63764213,0.0440732302803051,2
40,0,0,2,0.476464875,0.0540458471291593,2,0.523535125,0.0540458471291593,2
50,0,0,2,0.614874265,0.0359795234282842,2,0.385125735,0.0359795234282842,2
